Sport,HS_US_Men,College_US_Men,NCAA1_Men,Perc_College_Men,Perc_NCAA1_Men,College_Odds_Men,NCAA1_Odds_Men
Baseball,507883,60696,10782,12.0,2.1,8:1,47:1
Basketball,547271,31255,4723,5.7,0.9,17:1,116:1
Cross Country,273355,17873,4549,6.5,1.7,15:1,60:1
Football,1042420,93442,29287,9.0,2.8,11:1,36:1
Golf,162508,10200,2323,6.3,1.4,16:1,70:1
Ice Hockey,45687,3609,1113,7.9,2.4,13:1,41:1
Lacrosse,120883,16304,3334,13.5,2.8,7:1,36:1
Soccer,473130,34786,3989,7.4,0.8,14:1,119:1
Swimming & Diving,146813,10174,3216,6.9,2.2,14:1,46:1
Tennis,164191,6101,943,3.7,0.6,27:1,174:1
Track & Field,617583,34769,10279,5.6,1.7,18:1,60:1
Volleyball,69704,3679,405,5.3,0.6,19:1,172:1
Water Polo,22929,1527,521,6.7,2.3,15:1,44:1
Wrestling,252440,11329,2602,4.5,1.0,22:1,97:1
